PART_NUMBER,QTN_REV_3D,MEAN_SIZE_3D,DRAWING_CODE,ATP,QTN_REV_2D,MEAN_SIZE_2D,QTY_SHEETS,QTY_DIMENSIONS,QTY_VIEWS,QTY_PART_LIST,QTY_TEXT_INFORMATION,LEAD_TIME_1,TRIM_AND_FINISH,LEAD_TO_RELEASE,QTY_ECN_2D
D724016-507,1,76387,PL,F49-1-AFR1,1,907922,1,21,5,22,161,57,0,57,0
D745168-33,1,174090,NM,F49-1-AFR1,1,553738,1,5,5,0,126,24,-1,24,0
D757001-627,2,1614209,TA,F49-1-AFR1,2,494131,1,0,2,1278,93,74,-1,74,1
D746521-9,1,171090,NM,F49-1-AFR1,1,511309,1,2,4,0,129,67,-1,67,0
D745168-31,2,171956,NM,F49-1-AFR1,2,559939,1,5,5,0,126,163,-1,-18,1
D746521-7,1,168807,NM,F49-1-AFR1,1,494885,1,2,4,0,129,67,-1,67,0
D746520-99,1,171371,NM,F49-1-AFR1,1,514993,1,2,4,0,130,67,-1,67,0
D757014-509,1,378231,PL,F49-1-AFR1,1,1697405,1,48,8,50,189,74,0,74,0
D746602-21,1,821744,IM,F49-1-AFR1,1,832712,1,13,5,0,130,62,-1,62,0
D745301-41,1,526791,MP,F49-1-AFR1,1,860916,1,29,8,0,135,44,0,43,0
D745168-27,2,172104,NM,F49-1-AFR1,2,565320,1,5,5,0,128,163,-1,-18,1
D745168-25,2,171818,NM,F49-1-AFR1,2,577431,1,5,5,0,126,163,-1,-18,1
D746604-43,1,352631,MP,F49-1-AFR1,1,607725,1,12,5,0,126,60,-1,60,0
D746702-99,1,190211,MP,F49-1-AFR1,1,600464,1,7,5,0,124,56,-1,56,0
D724011-511,1,128088,PL,F49-1-AFR1,1,1207293,1,28,10,41,183,57,0,57,0
D724032-507,1,41416,PL,F49-1-AFR1,1,806127,1,21,7,12,147,57,0,57,0
D746510-75,1,432881,NM,F49-1-AFR1,1,525133,1,2,4,0,131,68,-1,68,0
D735301-37,1,129945,MP,F49-1-AFR1,1,544305,1,6,5,0,127,45,0,45,0
D747004-529,1,1320105,BS,F49-1-AFR1,1,6102821,3,17,22,759,430,71,0,70,0
D746201-137,6,161152,IN,F49-1-AFR1,6,1947304,2,0,12,90,250,77,-1,77,5
D724132-9,1,425156,EX,F49-1-AFR1,1,755010,1,25,8,0,129,63,0,63,0
D751300-505,1,19242,SA,F49-1-AFR1,1,567326,1,8,5,3,136,10,0,7,1
D751002-111,4,4293785,IN,F49-1-AFR1,4,143544456,5,0,20,4264,235,,-1,-174,6
D751180-505,1,25351,SA,F49-1-AFR1,1,842305,1,2,6,5,134,61,0,61,0
D724162-21,1,163660,PL,F49-1-AFR1,1,645186,1,17,5,0,126,6,0,6,0
D724162-19,1,207356,PL,F49-1-AFR1,1,651710,1,12,5,0,125,6,0,6,0
D751300-503,2,20033,SA,F49-1-AFR1,2,553110,1,3,6,4,136,27,0,27,2
D757002-131,6,5441633,IN,F49-1-AFR1,6,25469358,1,0,3,3431,236,89,-1,89,8
D758262-505,1,54782,SA,F49-1-AFR1,1,1946209,1,5,9,35,165,61,-1,61,1
D751179-507,1,36418,SA,F49-1-AFR1,1,1100459,1,4,7,19,139,61,-1,61,0
D771001-109,4,4494029,TA,F49-1-AFR1,4,72496984,2,0,7,2334,191,50,0,49,3
D751262-519,1,114355,SA,F49-1-AFR1,1,1064290,1,3,6,76,136,61,-1,61,1
B141501-132,3,150917,TA,F49-01-AFR1,3,30497017,1,0,6,130,115,,0,-131,2
D751180-5,1,3708400,IM,F49-1-AFR1,1,503004,1,0,2,0,98,,0,-162,1
D712012-511,2,75001,SA,F49-1-BAG1,2,654304,1,0,3,87,232,64,0,53,1
D712027-507,1,128380,PL,F49-1-BAG1,1,1238993,1,30,7,46,193,,0,-774,0
D712001-119,6,7297180,IN, ,6,12108927,2,0,5,2749,250,67,0,-20,9
D746201-129,2,192181,IN,F49-1-BAG1,2,1088099,2,0,6,94,126,,-1,-680,1
D712006-507,2,365294,PB,F49-1-BAG1,2,583135,1,0,2,230,229,,0,-332,2
D746602-519,2,19373,SA,F49-1-BAG1,2,605312,1,0,2,2,246,104,-1,-120,1
D758001-611,2,2626760,TA,F49-1-BAG1,2,15983355,1,0,3,1340,234,65,0,65,2
B141501-124,2,105210,TA,F49-1-BAG1,2,711667,2,0,4,180,124,20,0,-485,1
D746603-563,1,25088,SA,F49-1-BAG1,1,694103,1,3,5,3,128,284,-1,-443,0
D712004-529,5,832167,BS,F49-1-BAG1,5,1425412,1,0,3,514,232,67,0,-31,4
D757732-503,2,116753,EL, ,2,604981,1,0,3,54,235,53,0,53,2
D741470-43,1,182278,NM,F49-1-BAG1,1,588217,1,10,6,0,124,10,0,10,0
D746603-567,2,20716,SA,F49-1-BAG1,2,681932,1,3,5,3,128,85,-1,85,1
D712034-509,1,188247,PL,F49-1-BAG1,1,1772190,1,55,8,73,222,64,0,53,0
D757002-107,9,5232789,IN,F49-1-BAG1,9,27825599,3,0,9,3370,279,68,0,68,10
D712004-527,2,1763887,BS,F49-1-BAG1,2,1633612,1,0,3,617,232,64,0,53,1
D712012-611,2,147480,PL, ,2,1414509,2,0,6,85,429,64,0,53,1
D746603-577,1,20985,SA,F49-1-BAG1,1,678809,1,3,5,2,127,85,-1,85,0
D758005-511,2,887973,EL,F49-1-BAG1,2,3353131,1,0,3,446,236,53,0,53,2
D712001-525,6,1286593,TA,F49-1-BAG1,6,14966655,3,11,22,1055,484,67,0,-31,7
D712001-527,3,2668735,TA,F49-1-BAG1,3,9430768,1,0,3,1960,232,64,0,64,5
D746603-565,1,23553,SA,F49-1-BAG1,1,684221,1,3,5,3,128,86,-1,85,0
D757550-505,2,82995,SA,F49-1-BAG1,2,1830377,1,0,9,77,177,56,0,56,2
D746600-529,4,561191,IN,F49-1-BAG1,4,10701347,4,0,14,269,212,,-1,-462,3
D757550-603,1,43081,PL,F49-1-BAG1,1,964444,2,39,12,7,201,56,-1,56,1
D751382-537,1,102161,SA,F49-1-BAG1,1,798793,1,3,5,23,127,23,0,23,0
D751382-637,1,176078,PL,F49-1-BAG1,1,769442,1,13,5,18,153,23,0,23,0
D712006-509,2,32293,PB,F49-1-BAG1,2,1143482,2,0,6,9,127,,0,-594,1
D757001-609,2,1691181,TA,F49-1-BAG1,2,56296700,3,14,21,1353,407,69,0,68,1
